problems,artist,artist_normalized,title,date,medium,dimensions,categories,file_name,file_url,description_url
,Eugène Delacroix,eugenedelacroix, English: Bouquet of Flowers,between 1849 and 1850,"Watercolour, gouache and pastel on paper",Height:  650 mm (25.59 in). Width:  654 mm (25.75 in).,Paintings by Eugène Delacroix~French paintings in the Louvre~1840s paintings in the Louvre~1840s still-life paintings~Watercolor paintings~Gouache paintings~19th-century still life paintings of flowers,images/ eugenedelacroix_00000021.jpg,http://upload.wikimedia.org/wikipedia/commons/9/9b/Eug%C3%A8ne_Delacroix_-_Bouquet_of_Flowers_-_WGA06241.jpg,http://commons.wikimedia.org/wiki/File:Eug%C3%A8ne_Delacroix_-_Bouquet_of_Flowers_-_WGA06241.jpg
,Eugène Delacroix,eugenedelacroix, English: Bouquet of Flowers,between 1849 and 1850,"Watercolour, gouache and pastel on paper",Height:  650 mm (25.59 in). Width:  654 mm (25.75 in).,Paintings by Eugène Delacroix~French paintings in the Louvre~1840s paintings in the Louvre~1840s still-life paintings~Watercolor paintings~Gouache paintings~19th-century still life paintings of flowers,images/ eugenedelacroix_00000022.jpg,http://upload.wikimedia.org/wikipedia/commons/9/9b/Eug%C3%A8ne_Delacroix_-_Bouquet_of_Flowers_-_WGA06241.jpg,http://commons.wikimedia.org/wiki/File:Eug%C3%A8ne_Delacroix_-_Bouquet_of_Flowers_-_WGA06241.jpg
,Winslow Homer,winslowhomer,On the Fence,1878,"watercolor, gouache and graphite on wove paper",24.77 × 34.93 cm (9.8 × 13.8 in),Watercolor paintings by Winslow Homer~1870s paintings by Winslow Homer~Paintings by Winslow Homer in the National Gallery of Art~1878 paintings in the United States~Gouache paintings~1878 watercolor paintings~Watercolor paintings of children~19th-century childhood in painting,images/ winslowhomer_00000023.jpg,http://upload.wikimedia.org/wikipedia/commons/3/33/Winslow_Homer_-_On_the_Fence_%281878%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_On_the_Fence_(1878).jpg
,Winslow Homer,winslowhomer,On the Fence,1878,"watercolor, gouache and graphite on wove paper",24.77 × 34.93 cm (9.8 × 13.8 in),Watercolor paintings by Winslow Homer~1870s paintings by Winslow Homer~Paintings by Winslow Homer in the National Gallery of Art~1878 paintings in the United States~Gouache paintings~1878 watercolor paintings~Watercolor paintings of children~19th-century childhood in painting,images/ winslowhomer_00000024.jpg,http://upload.wikimedia.org/wikipedia/commons/3/33/Winslow_Homer_-_On_the_Fence_%281878%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_On_the_Fence_(1878).jpg
,Thomas Girtin,thomasgirtin,A Temple in Harewood Park,circa 1798,"""Watercolor, gouache and charcoal/black chalk over graphite on medium, slightly textured, beige, laid paper""",Height:  213 mm (8.39 in). Width:  176 mm (6.93 in).,Thomas Girtin~Herefordshire in art~Parks in art~1790s watercolor paintings,images/ thomasgirtin_00000025.jpg,http://upload.wikimedia.org/wikipedia/commons/c/ca/Thomas_Girtin_-_A_Temple_in_Harewood_Park_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Thomas_Girtin_-_A_Temple_in_Harewood_Park_-_Google_Art_Project.jpg
,Thomas Girtin,thomasgirtin,A Temple in Harewood Park,circa 1798,"""Watercolor, gouache and charcoal/black chalk over graphite on medium, slightly textured, beige, laid paper""",Height:  213 mm (8.39 in). Width:  176 mm (6.93 in).,Thomas Girtin~Herefordshire in art~Parks in art~1790s watercolor paintings,images/ thomasgirtin_00000026.jpg,http://upload.wikimedia.org/wikipedia/commons/c/ca/Thomas_Girtin_-_A_Temple_in_Harewood_Park_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Thomas_Girtin_-_A_Temple_in_Harewood_Park_-_Google_Art_Project.jpg
,Aaron Shikler,aaronshikler,John Fitzgerald Kennedy,1970,oil on canvas,50 × 34 in (127 × 86.4 cm),Aaron Shikler~Official presidential painted portraits in the White House~Paintings of John F. Kennedy~Portraits of John F. Kennedy~1970s oil on canvas paintings~1970 portrait paintings~20th-century oil portraits of standing women at three-quarter length~20th-century portrait paintings in the United States~Lounge suits in art~Crossed arms (right over left)~Crossed arms in portrait paintings~Male red hair in art~Males looking down~Neckties in art,images/ aaronshikler_00000027.jpg,http://upload.wikimedia.org/wikipedia/commons/2/21/John_F_Kennedy_Official_Portrait.jpg,http://commons.wikimedia.org/wiki/File:John_F_Kennedy_Official_Portrait.jpg
,Aaron Shikler,aaronshikler,John Fitzgerald Kennedy,1970,oil on canvas,50 × 34 in (127 × 86.4 cm),Aaron Shikler~Official presidential painted portraits in the White House~Paintings of John F. Kennedy~Portraits of John F. Kennedy~1970s oil on canvas paintings~1970 portrait paintings~20th-century oil portraits of standing women at three-quarter length~20th-century portrait paintings in the United States~Lounge suits in art~Crossed arms (right over left)~Crossed arms in portrait paintings~Male red hair in art~Males looking down~Neckties in art,images/ aaronshikler_00000028.jpg,http://upload.wikimedia.org/wikipedia/commons/2/21/John_F_Kennedy_Official_Portrait.jpg,http://commons.wikimedia.org/wiki/File:John_F_Kennedy_Official_Portrait.jpg
,Carmontelle,carmontelle,French: M. Rameau Monsieur Rameau,1760,"watercolor, gouache, graphite pencil and sanguine on paper",280 × 180 mm (11.02 × 7.09 in),"Jean-Philippe Rameau~1760 drawings~Portrait drawings by Carmontelle in the musée Condé~18th-century gouache portraits of men~18th-century portrait drawings of men at full length~18th-century profile portrait paintings of men~18th-century watercolor portraits of men~Artists at work~Brown clothing in art, male~Columns in portrait paintings~Men facing left and looking left~Men facing left in art~Portraits of sitting men~Portraits with musical instruments~Portraits with musical scores~Spinet~Terraces in art~Wigs in art",images/ carmontelle_00000029.JPG,http://upload.wikimedia.org/wikipedia/commons/f/fb/Rameau_Carmontelle.JPG,http://commons.wikimedia.org/wiki/File:Rameau_Carmontelle.JPG
,Carmontelle,carmontelle,French: M. Rameau Monsieur Rameau,1760,"watercolor, gouache, graphite pencil and sanguine on paper",280 × 180 mm (11.02 × 7.09 in),"Jean-Philippe Rameau~1760 drawings~Portrait drawings by Carmontelle in the musée Condé~18th-century gouache portraits of men~18th-century portrait drawings of men at full length~18th-century profile portrait paintings of men~18th-century watercolor portraits of men~Artists at work~Brown clothing in art, male~Columns in portrait paintings~Men facing left and looking left~Men facing left in art~Portraits of sitting men~Portraits with musical instruments~Portraits with musical scores~Spinet~Terraces in art~Wigs in art",images/ carmontelle_00000030.JPG,http://upload.wikimedia.org/wikipedia/commons/f/fb/Rameau_Carmontelle.JPG,http://commons.wikimedia.org/wiki/File:Rameau_Carmontelle.JPG
