problems,artist,artist_normalized,title,date,medium,dimensions,categories,file_name,file_url,description_url
,Andrea del Sarto,andreasarto,Portrait of a young Man,circa 1517,oil on canvas,Height:  72 cm (28.3 in). Width:  57 cm (22.4 in).,"Portrait paintings by Andrea del Sarto~Paintings of the Italian Renaissance in the National Gallery, London~16th-century portrait paintings of unidentified men~1510s oil on canvas paintings in the United Kingdom~1510s paintings from Italy~1517 oil on canvas paintings~1517 portrait paintings~16th-century oil portraits of sitting men at half length~16th-century portrait paintings in the National Gallery, London~Males with black headwear in art",images/ andreasarto_00002975.jpg,http://upload.wikimedia.org/wikipedia/commons/5/5a/Andrea_del_Sarto_-_Portrait_of_a_Young_Man_-_WGA0381.jpg,http://commons.wikimedia.org/wiki/File:Andrea_del_Sarto_-_Portrait_of_a_Young_Man_-_WGA0381.jpg
,Andrea del Sarto,andreasarto,Portrait of a young Man,circa 1517,oil on canvas,Height:  72 cm (28.3 in). Width:  57 cm (22.4 in).,"Portrait paintings by Andrea del Sarto~Paintings of the Italian Renaissance in the National Gallery, London~16th-century portrait paintings of unidentified men~1510s oil on canvas paintings in the United Kingdom~1510s paintings from Italy~1517 oil on canvas paintings~1517 portrait paintings~16th-century oil portraits of sitting men at half length~16th-century portrait paintings in the National Gallery, London~Males with black headwear in art",images/ andreasarto_00002976.jpg,http://upload.wikimedia.org/wikipedia/commons/5/5a/Andrea_del_Sarto_-_Portrait_of_a_Young_Man_-_WGA0381.jpg,http://commons.wikimedia.org/wiki/File:Andrea_del_Sarto_-_Portrait_of_a_Young_Man_-_WGA0381.jpg
,Federico Barocci,federicobarocci,Francesco II della Rovere,1572,oil on canvas,Height:  113 cm (44.5 in). Width:  93 cm (36.6 in).,Federico Barocci~16th-century portrait paintings in the Uffizi Gallery~Francesco Maria II della Rovere~1570s paintings from Italy~1570s paintings in Italy~1572 oil on canvas paintings~1572 portrait paintings~16th-century men looking at viewer in art~16th-century oil on canvas paintings in Italy~16th-century oil portraits of standing men at three-quarter length wearing armour~Left hand on hip in portrait paintings~Military helmets in portraits~Tables in portrait paintings,images/ federicobarocci_00002977.jpg,http://upload.wikimedia.org/wikipedia/commons/e/ee/Federico_Barocci_-_Francesco_II_della_Rovere_-_WGA1291.jpg,http://commons.wikimedia.org/wiki/File:Federico_Barocci_-_Francesco_II_della_Rovere_-_WGA1291.jpg
,Federico Barocci,federicobarocci,Francesco II della Rovere,1572,oil on canvas,Height:  113 cm (44.5 in). Width:  93 cm (36.6 in).,Federico Barocci~16th-century portrait paintings in the Uffizi Gallery~Francesco Maria II della Rovere~1570s paintings from Italy~1570s paintings in Italy~1572 oil on canvas paintings~1572 portrait paintings~16th-century men looking at viewer in art~16th-century oil on canvas paintings in Italy~16th-century oil portraits of standing men at three-quarter length wearing armour~Left hand on hip in portrait paintings~Military helmets in portraits~Tables in portrait paintings,images/ federicobarocci_00002978.jpg,http://upload.wikimedia.org/wikipedia/commons/e/ee/Federico_Barocci_-_Francesco_II_della_Rovere_-_WGA1291.jpg,http://commons.wikimedia.org/wiki/File:Federico_Barocci_-_Francesco_II_della_Rovere_-_WGA1291.jpg
taken with camera,Ferdinand Georg Waldmüller,ferdinandwaldmuller,Portrait of Johanna Borckenstein,1829,oil on canvas,94 x 76 cm,Portraits by Ferdinand Georg Waldmüller~1829 paintings~Oil portraits of women~Paintings in unidentified private collections~19th-century oil on canvas paintings~Portrait paintings of females with flowers~Paintings of sitting women~Women looking at viewer in art,images/ ferdinandwaldmuller_00002979.jpeg,http://upload.wikimedia.org/wikipedia/commons/b/b0/Waldm%C3%BCller_-_Johanna_Borckenstein.jpeg,http://commons.wikimedia.org/wiki/File:Waldm%C3%BCller_-_Johanna_Borckenstein.jpeg
taken with camera,Ferdinand Georg Waldmüller,ferdinandwaldmuller,Portrait of Johanna Borckenstein,1829,oil on canvas,94 x 76 cm,Portraits by Ferdinand Georg Waldmüller~1829 paintings~Oil portraits of women~Paintings in unidentified private collections~19th-century oil on canvas paintings~Portrait paintings of females with flowers~Paintings of sitting women~Women looking at viewer in art,images/ ferdinandwaldmuller_00002980.jpeg,http://upload.wikimedia.org/wikipedia/commons/b/b0/Waldm%C3%BCller_-_Johanna_Borckenstein.jpeg,http://commons.wikimedia.org/wiki/File:Waldm%C3%BCller_-_Johanna_Borckenstein.jpeg
,Mihály Munkácsy,mihalymunkacsy,Portrait of Julia Járossy Mrs. Lajos Reök,1864,oil on canvas,Height:  67.5 cm (26.6 in). Width:  55.5 cm (21.9 in).,"Portrait paintings by Mihály Munkácsy~Paintings by Mihály Munkácsy in the Munkácsy Mihály Museum, Békéscsaba~1864 paintings in Hungary~19th-century oil on canvas paintings in Hungary~1860s oil portraits of women at half length~1864 portrait paintings",images/ mihalymunkacsy_00002981.jpg,http://upload.wikimedia.org/wikipedia/commons/7/7b/Munk%C3%A1csy_Re%C3%B6k_Lajosn%C3%A9.jpg,http://commons.wikimedia.org/wiki/File:Munk%C3%A1csy_Re%C3%B6k_Lajosn%C3%A9.jpg
,Mihály Munkácsy,mihalymunkacsy,Portrait of Julia Járossy Mrs. Lajos Reök,1864,oil on canvas,Height:  67.5 cm (26.6 in). Width:  55.5 cm (21.9 in).,"Portrait paintings by Mihály Munkácsy~Paintings by Mihály Munkácsy in the Munkácsy Mihály Museum, Békéscsaba~1864 paintings in Hungary~19th-century oil on canvas paintings in Hungary~1860s oil portraits of women at half length~1864 portrait paintings",images/ mihalymunkacsy_00002982.jpg,http://upload.wikimedia.org/wikipedia/commons/7/7b/Munk%C3%A1csy_Re%C3%B6k_Lajosn%C3%A9.jpg,http://commons.wikimedia.org/wiki/File:Munk%C3%A1csy_Re%C3%B6k_Lajosn%C3%A9.jpg
taken with camera,John Robert Cozens,johncozens,Cetara on the Gulf of Salerno,1790,watercolor over graphite,36.8 × 52.7 cm (14.5 × 20.7 in),Campania in art by John Robert Cozens~1790 paintings~Cetara~Amalfi Coast in art~Cityscapes of Italy~Landscape paintings of Italy~Watercolor paintings of cityscapes~British paintings in the National Gallery of Art~1790s landscape paintings,images/ johncozens_00002983.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a0/John_Robert_Cozens_-Cetara_on_the_Gulf_of_Salerno.jpg,http://commons.wikimedia.org/wiki/File:John_Robert_Cozens_-Cetara_on_the_Gulf_of_Salerno.jpg
taken with camera,John Robert Cozens,johncozens,Cetara on the Gulf of Salerno,1790,watercolor over graphite,36.8 × 52.7 cm (14.5 × 20.7 in),Campania in art by John Robert Cozens~1790 paintings~Cetara~Amalfi Coast in art~Cityscapes of Italy~Landscape paintings of Italy~Watercolor paintings of cityscapes~British paintings in the National Gallery of Art~1790s landscape paintings,images/ johncozens_00002984.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a0/John_Robert_Cozens_-Cetara_on_the_Gulf_of_Salerno.jpg,http://commons.wikimedia.org/wiki/File:John_Robert_Cozens_-Cetara_on_the_Gulf_of_Salerno.jpg
,Johan Jongkind,johanjongkind, Nederlands: Boten in de haven van Honfleur Français : Bateaux en rade de Honfleur,12 September 1865,watercolor and charcoal on paper,31 × 52 cm (12.2 × 20.5 in),Johan Barthold Jongkind~Paintings of Honfleur~19th-century sailing ships in paintings~1860s watercolor paintings,images/ johanjongkind_00002985.jpg,http://upload.wikimedia.org/wikipedia/commons/f/f6/Johan_Barthold_Jongkind_-_Boten_in_de_haven_van_Honfleur.jpg,http://commons.wikimedia.org/wiki/File:Johan_Barthold_Jongkind_-_Boten_in_de_haven_van_Honfleur.jpg
,Johan Jongkind,johanjongkind, Nederlands: Boten in de haven van Honfleur Français : Bateaux en rade de Honfleur,12 September 1865,watercolor and charcoal on paper,31 × 52 cm (12.2 × 20.5 in),Johan Barthold Jongkind~Paintings of Honfleur~19th-century sailing ships in paintings~1860s watercolor paintings,images/ johanjongkind_00002986.jpg,http://upload.wikimedia.org/wikipedia/commons/f/f6/Johan_Barthold_Jongkind_-_Boten_in_de_haven_van_Honfleur.jpg,http://commons.wikimedia.org/wiki/File:Johan_Barthold_Jongkind_-_Boten_in_de_haven_van_Honfleur.jpg
,Winslow Homer,winslowhomer,Girl Seated,1880,Charcoal and opaque white watercolor on light brown paper,46.7 × 37.7 cm (18.4 × 14.8 in),"Watercolor paintings by Winslow Homer~1880s paintings by Winslow Homer~Paintings by Winslow Homer in the Museum of Fine Arts, Boston",images/ winslowhomer_00002987.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1c/Winslow_Homer_-_Girl_Seated_%281880%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_Girl_Seated_(1880).jpg
,Winslow Homer,winslowhomer,Girl Seated,1880,Charcoal and opaque white watercolor on light brown paper,46.7 × 37.7 cm (18.4 × 14.8 in),"Watercolor paintings by Winslow Homer~1880s paintings by Winslow Homer~Paintings by Winslow Homer in the Museum of Fine Arts, Boston",images/ winslowhomer_00002988.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1c/Winslow_Homer_-_Girl_Seated_%281880%29.jpg,http://commons.wikimedia.org/wiki/File:Winslow_Homer_-_Girl_Seated_(1880).jpg
,Carl Heinrich Bloch,carlbloch,In a Roman Osteria,1866,oil on canvas,"Height:  1,485 mm (58.46 in). Width:  1,775 mm (69.88 in).",Carl Bloch~Paintings in Statens Museum for Kunst~Women looking at viewer in art~Restaurants in art~Osterias~Romantic paintings of Italian women~1860s paintings in Germany~Eating in paintings~Restaurant interiors in Italy~19th-century oil on canvas paintings in Germany~Rome in the 1860s~19th-century genre paintings,images/ carlbloch_00002989.jpg,http://upload.wikimedia.org/wikipedia/commons/f/ff/Carl_Bloch_-_In_a_Roman_Osteria_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Carl_Bloch_-_In_a_Roman_Osteria_-_Google_Art_Project.jpg
,Carl Heinrich Bloch,carlbloch,In a Roman Osteria,1866,oil on canvas,"Height:  1,485 mm (58.46 in). Width:  1,775 mm (69.88 in).",Carl Bloch~Paintings in Statens Museum for Kunst~Women looking at viewer in art~Restaurants in art~Osterias~Romantic paintings of Italian women~1860s paintings in Germany~Eating in paintings~Restaurant interiors in Italy~19th-century oil on canvas paintings in Germany~Rome in the 1860s~19th-century genre paintings,images/ carlbloch_00002990.jpg,http://upload.wikimedia.org/wikipedia/commons/f/ff/Carl_Bloch_-_In_a_Roman_Osteria_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Carl_Bloch_-_In_a_Roman_Osteria_-_Google_Art_Project.jpg
taken with camera,Egon Schiele,egonschiele,German: Marktstand,1914,"pencil, watercolor and gouache on paper","31,4 x 47,9 cm",Paintings by Egon Schiele~Twentieth-century art in the Metropolitan Museum of Art~Austrian art in the Metropolitan Museum of Art~Drawings in the Metropolitan Museum of Art,images/ egonschiele_00002991.jpeg,http://upload.wikimedia.org/wikipedia/commons/3/31/Egon_Schiele_-_Marktstand_-_1914.jpeg,http://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Marktstand_-_1914.jpeg
taken with camera,Egon Schiele,egonschiele,German: Marktstand,1914,"pencil, watercolor and gouache on paper","31,4 x 47,9 cm",Paintings by Egon Schiele~Twentieth-century art in the Metropolitan Museum of Art~Austrian art in the Metropolitan Museum of Art~Drawings in the Metropolitan Museum of Art,images/ egonschiele_00002992.jpeg,http://upload.wikimedia.org/wikipedia/commons/3/31/Egon_Schiele_-_Marktstand_-_1914.jpeg,http://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Marktstand_-_1914.jpeg
taken with camera,Egon Schiele,egonschiele,German: Frau mit schwarzem Haar,1914,"pencil, watercolor and gouache","48,2 x 31,6 cm",Paintings by Egon Schiele~Staatliche Graphische Sammlung München,images/ egonschiele_00002993.jpeg,http://upload.wikimedia.org/wikipedia/commons/8/88/Egon_Schiele_-_Frau_mit_schwarzem_Haar_-_1914.jpeg,http://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Frau_mit_schwarzem_Haar_-_1914.jpeg
taken with camera,Egon Schiele,egonschiele,German: Frau mit schwarzem Haar,1914,"pencil, watercolor and gouache","48,2 x 31,6 cm",Paintings by Egon Schiele~Staatliche Graphische Sammlung München,images/ egonschiele_00002994.jpeg,http://upload.wikimedia.org/wikipedia/commons/8/88/Egon_Schiele_-_Frau_mit_schwarzem_Haar_-_1914.jpeg,http://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Frau_mit_schwarzem_Haar_-_1914.jpeg
,Egon Schiele,egonschiele,German: Blondes Aktmodel auf braunem Tuch sitzend,1912,"watercolor, gouache and pencil on japan paper (Stratmore Japanpapier), grundiert","32 x 48,2 cm",Paintings by Egon Schiele~Sitting people,images/ egonschiele_00002995.jpeg,http://upload.wikimedia.org/wikipedia/commons/f/f9/Egon_Schiele_-_Blondes_Aktmodel_auf_braunem_Tuch_sitzend_-_1912.jpeg,http://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Blondes_Aktmodel_auf_braunem_Tuch_sitzend_-_1912.jpeg
,Egon Schiele,egonschiele,German: Blondes Aktmodel auf braunem Tuch sitzend,1912,"watercolor, gouache and pencil on japan paper (Stratmore Japanpapier), grundiert","32 x 48,2 cm",Paintings by Egon Schiele~Sitting people,images/ egonschiele_00002996.jpeg,http://upload.wikimedia.org/wikipedia/commons/f/f9/Egon_Schiele_-_Blondes_Aktmodel_auf_braunem_Tuch_sitzend_-_1912.jpeg,http://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Blondes_Aktmodel_auf_braunem_Tuch_sitzend_-_1912.jpeg
,James Tissot,jamestissot, Français : Réconstitution de Jérusalem et du temple d'Hérode English: Reconstruction of Jerusalem and the Temple of Herod,between 1886 and 1894,opaque watercolor over graphite on gray wove paper,21 × 43.3 cm (8.3 × 17 in),The Life of Jesus Christ by James Tissot~Watercolor paintings of landscapes~Watercolor paintings of buildings,images/ jamestissot_00002997.jpg,http://upload.wikimedia.org/wikipedia/commons/a/aa/Brooklyn_Museum_-_Reconstruction_of_Jerusalem_and_the_Temple_of_Herod_%28R%C3%A9constitution_de_J%C3%A9rusalem_et_du_temple_d%27H%C3%A9rode%29_-_James_Tissot.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Reconstruction_of_Jerusalem_and_the_Temple_of_Herod_(R%C3%A9constitution_de_J%C3%A9rusalem_et_du_temple_d%27H%C3%A9rode)_-_James_Tissot.jpg
,James Tissot,jamestissot, Français : Réconstitution de Jérusalem et du temple d'Hérode English: Reconstruction of Jerusalem and the Temple of Herod,between 1886 and 1894,opaque watercolor over graphite on gray wove paper,21 × 43.3 cm (8.3 × 17 in),The Life of Jesus Christ by James Tissot~Watercolor paintings of landscapes~Watercolor paintings of buildings,images/ jamestissot_00002998.jpg,http://upload.wikimedia.org/wikipedia/commons/a/aa/Brooklyn_Museum_-_Reconstruction_of_Jerusalem_and_the_Temple_of_Herod_%28R%C3%A9constitution_de_J%C3%A9rusalem_et_du_temple_d%27H%C3%A9rode%29_-_James_Tissot.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Reconstruction_of_Jerusalem_and_the_Temple_of_Herod_(R%C3%A9constitution_de_J%C3%A9rusalem_et_du_temple_d%27H%C3%A9rode)_-_James_Tissot.jpg
,James Tissot,jamestissot, Français : La multiplicité des pains English: The Miracle of the Loaves and Fishes,between 1886 and 1894,opaque watercolor over graphite on gray wove paper,18.7 × 26.8 cm (7.4 × 10.6 in),The Life of Jesus Christ by James Tissot~Watercolor paintings of landscapes~Watercolor paintings of people,images/ jamestissot_00002999.jpg,http://upload.wikimedia.org/wikipedia/commons/e/ef/Brooklyn_Museum_-_The_Miracle_of_the_Loaves_and_Fishes_%28La_multiplicit%C3%A9_des_pains%29_-_James_Tissot.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_The_Miracle_of_the_Loaves_and_Fishes_(La_multiplicit%C3%A9_des_pains)_-_James_Tissot.jpg
,James Tissot,jamestissot, Français : La multiplicité des pains English: The Miracle of the Loaves and Fishes,between 1886 and 1894,opaque watercolor over graphite on gray wove paper,18.7 × 26.8 cm (7.4 × 10.6 in),The Life of Jesus Christ by James Tissot~Watercolor paintings of landscapes~Watercolor paintings of people,images/ jamestissot_00003000.jpg,http://upload.wikimedia.org/wikipedia/commons/e/ef/Brooklyn_Museum_-_The_Miracle_of_the_Loaves_and_Fishes_%28La_multiplicit%C3%A9_des_pains%29_-_James_Tissot.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_The_Miracle_of_the_Loaves_and_Fishes_(La_multiplicit%C3%A9_des_pains)_-_James_Tissot.jpg
,James Tissot,jamestissot, Français : Retour d'Égypte English: The Return from Egypt,between 1886 and 1894,opaque watercolor over graphite on gray wove paper,17.9 × 24.6 cm (7 × 9.7 in),The Life of Jesus Christ by James Tissot~Watercolor paintings of landscapes~Watercolor paintings of people~Return from Egypt,images/ jamestissot_00003001.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1a/Brooklyn_Museum_-_The_Return_from_Egypt_%28Retour_d%27%C3%89gypte%29_-_James_Tissot_-_overall.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_The_Return_from_Egypt_(Retour_d%27%C3%89gypte)_-_James_Tissot_-_overall.jpg
,James Tissot,jamestissot, Français : Retour d'Égypte English: The Return from Egypt,between 1886 and 1894,opaque watercolor over graphite on gray wove paper,17.9 × 24.6 cm (7 × 9.7 in),The Life of Jesus Christ by James Tissot~Watercolor paintings of landscapes~Watercolor paintings of people~Return from Egypt,images/ jamestissot_00003002.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1a/Brooklyn_Museum_-_The_Return_from_Egypt_%28Retour_d%27%C3%89gypte%29_-_James_Tissot_-_overall.jpg,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_The_Return_from_Egypt_(Retour_d%27%C3%89gypte)_-_James_Tissot_-_overall.jpg
,Jean-Baptiste-Siméon Chardin,jeanbaptistesimeonchardin,"French: 'La serinette', dit aussi 'Une Dame variant ses amusements' The Serinette",between 1750 and 1751,oil on canvas,Height:  50 cm (19.7 in). Width:  43 cm (16.9 in).,Genre paintings by Jean-Baptiste Siméon Chardin~French paintings in the Louvre - Room 40~1750s paintings in the Louvre~1750 genre paintings~1751 genre paintings~1750 oil on canvas paintings in France~1751 oil on canvas paintings in France~1750 paintings from France~1751 paintings from France~18th-century oil paintings of sitting women at full length~Salon of 1751~Paintings by Chardin in the Louvre,images/ jeanbaptistesimeonchardin_00003003.jpg,http://upload.wikimedia.org/wikipedia/commons/5/58/Jean_Sim%C3%A9on_Chardin_-_The_Canary_-_WGA04773.jpg,http://commons.wikimedia.org/wiki/File:Jean_Sim%C3%A9on_Chardin_-_The_Canary_-_WGA04773.jpg
,Jean-Baptiste-Siméon Chardin,jeanbaptistesimeonchardin,"French: 'La serinette', dit aussi 'Une Dame variant ses amusements' The Serinette",between 1750 and 1751,oil on canvas,Height:  50 cm (19.7 in). Width:  43 cm (16.9 in).,Genre paintings by Jean-Baptiste Siméon Chardin~French paintings in the Louvre - Room 40~1750s paintings in the Louvre~1750 genre paintings~1751 genre paintings~1750 oil on canvas paintings in France~1751 oil on canvas paintings in France~1750 paintings from France~1751 paintings from France~18th-century oil paintings of sitting women at full length~Salon of 1751~Paintings by Chardin in the Louvre,images/ jeanbaptistesimeonchardin_00003004.jpg,http://upload.wikimedia.org/wikipedia/commons/5/58/Jean_Sim%C3%A9on_Chardin_-_The_Canary_-_WGA04773.jpg,http://commons.wikimedia.org/wiki/File:Jean_Sim%C3%A9on_Chardin_-_The_Canary_-_WGA04773.jpg
,Mihael Stroj,mihaelstroj, Slovenščina: Anton Alojzij Wolf,1857,oil on canvas,136.5 × 113.5 cm (53.7 × 44.7 in),Portrait paintings by Mihael Stroj~Paintings in the Bishop's Mansion (Ljubljana)~Anton Alojzij Wolf~1857 oil on canvas paintings~1857 paintings in Slovenia~1857 portrait paintings~19th-century oil on canvas paintings in Slovenia~19th-century oil portraits of sitting men at three-quarter length in ecclesiastical costumes~19th-century portrait paintings in Slovenia~19th-century portrait paintings of bishops~Armchairs in portrait paintings~Clerics with ermine garment~Columns in portrait paintings~Green drapery in portrait paintings~Paintings by Mihael Stroj with fur,images/ mihaelstroj_00003005.jpg,http://upload.wikimedia.org/wikipedia/commons/8/89/Mihael_Stroj_-_Anton_Alojzij_Wolf.jpg,http://commons.wikimedia.org/wiki/File:Mihael_Stroj_-_Anton_Alojzij_Wolf.jpg
,Mihael Stroj,mihaelstroj, Slovenščina: Anton Alojzij Wolf,1857,oil on canvas,136.5 × 113.5 cm (53.7 × 44.7 in),Portrait paintings by Mihael Stroj~Paintings in the Bishop's Mansion (Ljubljana)~Anton Alojzij Wolf~1857 oil on canvas paintings~1857 paintings in Slovenia~1857 portrait paintings~19th-century oil on canvas paintings in Slovenia~19th-century oil portraits of sitting men at three-quarter length in ecclesiastical costumes~19th-century portrait paintings in Slovenia~19th-century portrait paintings of bishops~Armchairs in portrait paintings~Clerics with ermine garment~Columns in portrait paintings~Green drapery in portrait paintings~Paintings by Mihael Stroj with fur,images/ mihaelstroj_00003006.jpg,http://upload.wikimedia.org/wikipedia/commons/8/89/Mihael_Stroj_-_Anton_Alojzij_Wolf.jpg,http://commons.wikimedia.org/wiki/File:Mihael_Stroj_-_Anton_Alojzij_Wolf.jpg
,Albrecht Dürer,albrechtdurer,"German: Porträt Friedrichs des Weisen, Kurfürst von Sachsen Portrait of Elector Frederick the Wise of Saxony",1496 or 1500,tempera on canvas,Height:  76 cm (29.9 in). Width:  57 cm (22.4 in).,"Portraits by Albrecht Dürer~Paintings by Albrecht Dürer in the Gemäldegalerie, Berlin~Paintings in the Gemäldegalerie, Berlin - Room 2~Portraits of Friedrich III. (Sachsen)~1490s paintings in Germany~1496 portrait paintings~1500 portrait paintings~15th-century men looking at viewer in art~15th-century portrait paintings in the Gemäldegalerie, Berlin~15th-century portrait paintings of men at half length~15th-century tempera portraits of men~Curly hair in art (male)~Male long hair in art~Portrait paintings of bearded men~Portrait paintings with green background~Portrait paintings of men wearing black hats~Portraits with parapet~Renaissance portraits of men~Tempera on canvas~Three-quarter view portrait paintings of men, facing right",images/ albrechtdurer_00003007.jpg,http://upload.wikimedia.org/wikipedia/commons/7/76/Albrecht_D%C3%BCrer_-_Portrait_of_Elector_Frederick_the_Wise_of_Saxony_-_WGA6914.jpg,http://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Portrait_of_Elector_Frederick_the_Wise_of_Saxony_-_WGA6914.jpg
,Albrecht Dürer,albrechtdurer,"German: Porträt Friedrichs des Weisen, Kurfürst von Sachsen Portrait of Elector Frederick the Wise of Saxony",1496 or 1500,tempera on canvas,Height:  76 cm (29.9 in). Width:  57 cm (22.4 in).,"Portraits by Albrecht Dürer~Paintings by Albrecht Dürer in the Gemäldegalerie, Berlin~Paintings in the Gemäldegalerie, Berlin - Room 2~Portraits of Friedrich III. (Sachsen)~1490s paintings in Germany~1496 portrait paintings~1500 portrait paintings~15th-century men looking at viewer in art~15th-century portrait paintings in the Gemäldegalerie, Berlin~15th-century portrait paintings of men at half length~15th-century tempera portraits of men~Curly hair in art (male)~Male long hair in art~Portrait paintings of bearded men~Portrait paintings with green background~Portrait paintings of men wearing black hats~Portraits with parapet~Renaissance portraits of men~Tempera on canvas~Three-quarter view portrait paintings of men, facing right",images/ albrechtdurer_00003008.jpg,http://upload.wikimedia.org/wikipedia/commons/7/76/Albrecht_D%C3%BCrer_-_Portrait_of_Elector_Frederick_the_Wise_of_Saxony_-_WGA6914.jpg,http://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Portrait_of_Elector_Frederick_the_Wise_of_Saxony_-_WGA6914.jpg
,Martin Johann Schmidt,martinschmidt,The Painter and his Family,1790,oil on canvas mounted on millboard,Height:  48 cm (18.9 in). Width:  64 cm (25.2 in).,Martin Johann Schmidt~Austrian paintings in the Budapest Museum of Fine Arts~1790s paintings in Hungary~1790 oil on canvas paintings~1790 portrait paintings~18th-century family portraits~18th-century oil on canvas paintings in Hungary~18th-century portrait paintings with animals~Painters at work~Self-portraits with family~Self-portrait paintings in art-studio,images/ martinschmidt_00003009.jpg,http://upload.wikimedia.org/wikipedia/commons/d/d7/Martin_Johann_Schmidt_-_The_Painter_and_his_Family_-_WGA21009.jpg,http://commons.wikimedia.org/wiki/File:Martin_Johann_Schmidt_-_The_Painter_and_his_Family_-_WGA21009.jpg
,Martin Johann Schmidt,martinschmidt,The Painter and his Family,1790,oil on canvas mounted on millboard,Height:  48 cm (18.9 in). Width:  64 cm (25.2 in).,Martin Johann Schmidt~Austrian paintings in the Budapest Museum of Fine Arts~1790s paintings in Hungary~1790 oil on canvas paintings~1790 portrait paintings~18th-century family portraits~18th-century oil on canvas paintings in Hungary~18th-century portrait paintings with animals~Painters at work~Self-portraits with family~Self-portrait paintings in art-studio,images/ martinschmidt_00003010.jpg,http://upload.wikimedia.org/wikipedia/commons/d/d7/Martin_Johann_Schmidt_-_The_Painter_and_his_Family_-_WGA21009.jpg,http://commons.wikimedia.org/wiki/File:Martin_Johann_Schmidt_-_The_Painter_and_his_Family_-_WGA21009.jpg
,Mattia Preti,mattiapreti, English: The Raising of Lazarus,1650s,oil on canvas,Height:  202 cm (79.5 in). Width:  260 cm (102.4 in).,Mattia Preti~Paintings of Resurrection of Lazarus~Paintings in the Galleria nazionale d'arte antica (Rome)~17th-century religious paintings in Italy~1650s paintings from Italy~17th-century oil on canvas paintings in Italy~1650s paintings in Italy~1650s oil on canvas paintings,images/ mattiapreti_00003011.jpg,http://upload.wikimedia.org/wikipedia/commons/0/03/Mattia_Preti_-_The_Raising_of_Lazarus_-_WGA18390.jpg,http://commons.wikimedia.org/wiki/File:Mattia_Preti_-_The_Raising_of_Lazarus_-_WGA18390.jpg
,Mattia Preti,mattiapreti, English: The Raising of Lazarus,1650s,oil on canvas,Height:  202 cm (79.5 in). Width:  260 cm (102.4 in).,Mattia Preti~Paintings of Resurrection of Lazarus~Paintings in the Galleria nazionale d'arte antica (Rome)~17th-century religious paintings in Italy~1650s paintings from Italy~17th-century oil on canvas paintings in Italy~1650s paintings in Italy~1650s oil on canvas paintings,images/ mattiapreti_00003012.jpg,http://upload.wikimedia.org/wikipedia/commons/0/03/Mattia_Preti_-_The_Raising_of_Lazarus_-_WGA18390.jpg,http://commons.wikimedia.org/wiki/File:Mattia_Preti_-_The_Raising_of_Lazarus_-_WGA18390.jpg
,Stephen Pearce,stephenpearce,Portrait of Joseph René Bellot,1851,oil on canvas,38.7 × 31.8 cm (15.2 × 12.5 in),"Stephen Pearce~19th-century portrait paintings in the National Portrait Gallery, London~Joseph-René Bellot~1850s oil on canvas paintings in the United Kingdom~1851 oil on canvas paintings~1851 portrait paintings~19th-century oil portraits of men at bust length in military uniforms~Badges of chivalric orders in portraits~Portraits with medals",images/ stephenpearce_00003013.jpg,http://upload.wikimedia.org/wikipedia/commons/8/8e/Joseph_Ren%C3%A9_Bellot_by_Stephen_Pearce.jpg,http://commons.wikimedia.org/wiki/File:Joseph_Ren%C3%A9_Bellot_by_Stephen_Pearce.jpg
